Seq	JobRuntime	Send	Receive	Exitval	Signal	Command
109	     1.019	0	142	0	0	python3 run.py minionpar 08 002
110	     2.236	0	142	0	0	python3 run.py minionpar 09 032
111	     0.632	0	142	0	0	python3 run.py minionpar 05 010
112	     1.955	0	142	0	0	python3 run.py minionpar 08 023
107	    14.250	0	142	0	0	python3 run.py minionpar 09 021
114	     0.842	0	142	0	0	python3 run.py minionpar 07 021
113	    13.927	0	142	0	0	python3 run.py minionpar 09 022
116	     0.776	0	142	0	0	python3 run.py minionpar 03 003
117	     1.013	0	142	0	0	python3 run.py minionpar 08 000
115	    14.440	0	142	0	0	python3 run.py minionpar 09 023
104	    45.004	0	142	0	0	python3 run.py minionpar 10 023
120	     3.121	0	142	0	0	python3 run.py minionpar 08 020
121	     1.711	0	142	0	0	python3 run.py minionpar 08 009
122	     1.484	0	142	0	0	python3 run.py minionpar 08 007
89	    65.526	0	142	0	0	python3 run.py minionpar 10 026
124	     3.697	0	142	0	0	python3 run.py minionpar 08 019
125	     1.003	0	142	0	0	python3 run.py minionpar 07 005
126	     0.532	0	142	0	0	python3 run.py minionpar 03 000
127	     0.684	0	142	0	0	python3 run.py minionpar 05 007
128	     8.644	0	142	0	0	python3 run.py minionpar 09 017
129	     0.878	0	142	0	0	python3 run.py minionpar 06 008
130	     2.195	0	142	0	0	python3 run.py minionpar 08 011
131	     1.263	0	142	0	0	python3 run.py minionpar 09 002
132	     1.002	0	142	0	0	python3 run.py minionpar 06 007
133	    12.233	0	142	0	0	python3 run.py minionpar 09 025
134	     0.873	0	142	0	0	python3 run.py minionpar 07 000
135	     0.842	0	142	0	0	python3 run.py minionpar 06 004
136	     1.428	0	142	0	0	python3 run.py minionpar 08 005
119	    55.191	0	142	0	0	python3 run.py minionpar 10 032
137	     1.392	0	142	0	0	python3 run.py minionpar 09 036
138	     0.642	0	142	0	0	python3 run.py minionpar 05 001
140	     1.705	0	142	0	0	python3 run.py minionpar 10 000
139	     3.392	0	142	0	0	python3 run.py minionpar 09 012
141	     4.095	0	142	0	0	python3 run.py minionpar 09 030
143	     2.078	0	142	0	0	python3 run.py minionpar 09 008
142	     6.065	0	142	0	0	python3 run.py minionpar 09 015
118	    71.077	0	142	0	0	python3 run.py minionpar 10 028
146	     0.515	0	142	0	0	python3 run.py minionpar 02 000
123	    58.673	0	142	0	0	python3 run.py minionpar 10 025
145	    12.815	0	142	0	0	python3 run.py minionpar 09 020
144	    13.904	0	142	0	0	python3 run.py minionpar 09 024
148	     3.154	0	142	0	0	python3 run.py minionpar 10 007
150	     0.763	0	142	0	0	python3 run.py minionpar 06 001
149	     1.133	0	142	0	0	python3 run.py minionpar 08 001
147	    11.422	0	142	0	0	python3 run.py minionpar 09 019
152	     0.843	0	142	0	0	python3 run.py minionpar 06 012
151	     2.108	0	142	0	0	python3 run.py minionpar 10 004
155	     1.424	0	142	0	0	python3 run.py minionpar 09 003
154	     1.953	0	142	0	0	python3 run.py minionpar 08 010
157	     1.026	0	142	0	0	python3 run.py minionpar 05 003
159	     1.304	0	142	0	0	python3 run.py minionpar 07 016
153	     8.595	0	142	0	0	python3 run.py minionpar 10 015
161	     0.654	0	142	0	0	python3 run.py minionpar 05 000
162	     1.593	0	142	0	0	python3 run.py minionpar 10 001
163	     1.394	0	142	0	0	python3 run.py minionpar 08 006
160	     9.820	0	142	0	0	python3 run.py minionpar 10 038
164	     3.347	0	142	0	0	python3 run.py minionpar 10 010
165	     1.440	0	142	0	0	python3 run.py minionpar 09 000
156	    14.427	0	142	0	0	python3 run.py minionpar 10 037
167	     0.708	0	142	0	0	python3 run.py minionpar 05 008
166	     1.324	0	142	0	0	python3 run.py minionpar 09 035
168	     1.493	0	142	0	0	python3 run.py minionpar 09 034
171	     0.552	0	142	0	0	python3 run.py minionpar 01 000
172	     1.374	0	142	0	0	python3 run.py minionpar 08 026
170	     3.332	0	142	0	0	python3 run.py minionpar 10 009
174	     3.215	0	142	0	0	python3 run.py minionpar 10 041
175	     1.699	0	142	0	0	python3 run.py minionpar 10 003
169	    10.263	0	142	0	0	python3 run.py minionpar 10 016
158	    29.556	0	142	0	0	python3 run.py minionpar 10 035
173	    61.802	0	142	0	0	python3 run.py minionpar 10 031
